,rpersona,reduca
0,0050070031101,17.0
1,0050070121101,11.0
2,0050070221101,16.0
3,0050070221102,14.0
4,0050070221103,14.0
5,0050070501101,5.0
6,0050070501102,5.0
7,0050090411101,
8,0050090411102,16.0
9,0050090981101,11.0
10,0050090981102,11.0
11,0050090981103,11.0
12,0050090981104,0.0
13,0050091261101,11.0
14,0050091261102,9.0
15,0050091261103,14.0
16,0050091261104,11.0
17,0050091261105,14.0
18,0050190411101,5.0
19,0050190851101,14.0
20,0050190851102,11.0
21,0050190851103,0.0
22,0050191141101,0.0
23,0050191141102,0.0
24,0050191141103,11.0
25,0050191141104,0.0
26,0050200681101,16.0
27,0050200681102,5.0
28,0050200681103,14.0
29,0050201021101,10.0
30,0050201021102,7.0
31,0050201021103,16.0
32,0050201021104,0.0
33,0050201021105,0.0
34,0050201021106,16.0
35,0050201521101,3.0
36,0050201521102,8.0
37,0050201521103,16.0
38,0050201521104,16.0
39,0050201521105,1.0
40,0050201521107,16.0
41,0050201521108,0.0
42,0050201521109,14.0
43,0050201521110,3.0
44,0050270061101,11.0
45,0050270061102,12.0
46,0050270061103,0.0
47,0050270061104,1.0
48,0050270181101,8.0
49,0050270181102,11.0
50,0050270181103,0.0
51,0050270181104,0.0
52,0050270441101,14.0
53,0050270441102,16.0
54,0050270441103,13.0
55,0050270441104,12.0
56,0050270441105,0.0
57,0050270551101,11.0
58,0050270551102,11.0
59,0050270551103,14.0
60,0050270551104,14.0
61,0050270551105,10.0
62,0050270651101,0.0
63,0050270651102,0.0
64,0050270781101,0.0
65,0050270781102,7.0
66,0050270781103,7.0
67,0050300051101,12.0
68,0050300051102,10.0
69,0050300051103,9.0
70,0050300051104,7.0
71,0050300051105,0.0
72,0050300051107,11.0
73,0050300121101,4.0
74,0050300121102,
75,0050300121103,
76,0050300301101,14.0
77,0050300301102,0.0
78,0050300301103,11.0
79,0050300301104,0.0
80,0050300391101,2.0
81,0050300391102,
82,0050300471101,5.0
83,0050300471102,0.0
84,0050300551101,
85,0050300551102,
86,0050300551103,0.0
87,0050350051101,7.0
88,0050350051102,0.0
89,0050350051103,0.0
90,0050350051104,1.0
91,0050350321101,11.0
92,0050350321102,12.0
93,0050350471101,5.0
94,0050350751101,3.0
95,0050350751102,
96,0050350751103,11.0
97,0050350751104,0.0
98,0050350891101,11.0
99,0050350891102,0.0
100,0050350891103,0.0
101,0050351171101,11.0
102,0050351171102,9.0
103,0050351171103,0.0
104,0050351171104,0.0
105,0050360141101,17.0
106,0050360141102,16.0
107,0050360141103,11.0
108,0050360141104,0.0
109,0050360321101,16.0
110,0050360321102,11.0
111,0050360321103,7.0
112,0050360521101,10.0
113,0050360721101,
114,0050360721102,0.0
115,0050360721103,0.0
116,0050360721104,
117,0050360891101,16.0
118,0050360891102,0.0
119,0050361671101,11.0
120,0050361671102,11.0
121,0050361671103,9.0
122,0050370061101,14.0
123,0050370061102,16.0
124,0050370171101,5.0
125,0050370171102,5.0
126,0050370731101,17.0
127,0050370731102,14.0
128,0050370731103,0.0
129,0050370951101,14.0
130,0050370951102,11.0
131,0050370951103,10.0
132,0050370951104,0.0
133,0050380111101,3.0
134,0050380111102,14.0
135,0050380401101,3.0
136,0050380401102,2.0
137,0050380401103,7.0
138,0050380481101,8.0
139,0050380481102,5.0
140,0050390221101,16.0
141,0050390221102,16.0
142,0050390221103,8.0
143,0050390221104,0.0
144,0050390221105,0.0
145,0050391011101,
146,0050391011102,0.0
147,0050391011103,0.0
148,0050391011104,11.0
149,0050391141101,12.0
150,0050391141102,12.0
151,0050391141103,3.0
152,0050391141104,1.0
153,0050440131101,0.0
154,0050440131102,8.0
155,0050440131103,0.0
156,0050440281101,10.0
157,0050440281102,7.0
158,0050440591101,0.0
159,0050440591102,0.0
160,0050440591103,7.0
161,0050440591104,0.0
162,0050440591105,2.0
163,0050440591106,
164,0050441301101,0.0
165,0050441301102,11.0
166,0050441301103,14.0
167,0050441301104,3.0
168,0050450131101,0.0
169,0050450131102,0.0
170,0050450131103,11.0
171,0050450131104,11.0
172,0050450131105,0.0
173,0050450331101,16.0
174,0050450331102,15.0
175,0050450401101,11.0
176,0050450401102,13.0
177,0050450401103,
178,0050450471101,16.0
179,0050450471102,11.0
180,0050450471103,10.0
181,0050450561101,3.0
182,0050450561102,11.0
183,0050450561103,
184,0050490031101,11.0
185,0050490031102,0.0
186,0050490031103,11.0
187,0050490031104,11.0
188,0050490191101,1.0
189,0050490191102,0.0
190,0050490191103,11.0
191,0050490241101,2.0
192,0050490241102,
193,0050490241103,7.0
194,0050490281101,1.0
195,0050490351101,1.0
196,0050490351102,11.0
197,0050490351103,1.0
198,0050570931101,0.0
199,0050570931102,0.0
200,0050570931103,16.0
201,0050570931104,11.0
202,0050570931105,14.0
203,0050570931106,14.0
204,0050570931107,0.0
205,0050571071101,8.0
206,0050571071102,0.0
207,0050610101101,0.0
208,0050610101102,
209,0050610101103,7.0
210,0050610101104,0.0
211,0050610221101,11.0
212,0050610341101,11.0
213,0050610341102,4.0
214,0050610341103,0.0
215,0050610581101,3.0
216,0050610581102,0.0
217,0050610581103,11.0
218,0050610581104,11.0
219,0050610701101,14.0
220,0050610701102,11.0
221,0050610701103,2.0
222,0050610831101,11.0
223,0050660301101,11.0
224,0050660301102,10.0
225,0050660301103,0.0
226,0050660301104,2.0
227,0050660451101,14.0
228,0050660451102,9.0
229,0050660871101,15.0
230,0050660871102,11.0
231,0050660871103,16.0
232,0050730231101,0.0
233,0050730231102,0.0
234,0050730231103,0.0
235,0050730261101,11.0
236,0050730261102,0.0
237,0050730261103,10.0
238,0050730261104,0.0
239,0050730261105,0.0
240,0050730261106,2.0
241,0050730261107,0.0
242,0050730261108,1.0
243,0050730691101,10.0
244,0050730691102,11.0
245,0050730691103,8.0
246,0050730711101,11.0
247,0050730711102,
248,0050730721101,7.0
249,0050730721102,1.0
250,0050730731101,14.0
251,0050730731102,0.0
252,0050730731103,13.0
253,0050730731104,10.0
254,0050730731105,0.0
255,0050730731106,0.0
256,0050730731107,
257,0050730811101,9.0
258,0050730811102,
259,0050730811103,11.0
260,0050730811104,10.0
261,0050730811105,8.0
262,0050740471101,9.0
263,0050740471102,10.0
264,0050740471103,0.0
265,0050740471104,0.0
266,0050740471105,3.0
267,0050740481101,11.0
268,0050740481102,0.0
269,0050740491101,0.0
270,0050740491102,0.0
271,0050740491103,11.0
272,0050740491104,8.0
273,0050740491105,0.0
274,0050740491106,3.0
275,0050740521101,9.0
276,0050740521102,0.0
277,0050740521103,0.0
278,0050740521104,3.0
279,0050740521105,1.0
280,0050741331101,0.0
281,0050741331102,0.0
282,0050741331103,16.0
283,0050741331104,11.0
284,0050741331105,11.0
285,0050741351101,14.0
286,0050741361101,7.0
287,0050741361102,5.0
288,0050741361103,14.0
289,0050741361104,8.0
290,0050760151101,11.0
291,0050760151102,0.0
292,0050760161101,7.0
293,0050760161102,0.0
294,0050760161103,0.0
295,0050760161104,0.0
296,0050760161105,0.0
297,0050760161106,3.0
298,0050760161107,0.0
299,0050760611101,11.0
300,0050760611102,0.0
301,0050760611103,9.0
302,0050760611104,0.0
303,0050760611105,3.0
304,0050760631101,0.0
305,0050760631102,0.0
306,0050760631103,0.0
307,0050760631104,
308,0050760641101,0.0
309,0050760641102,0.0
310,0050760641103,0.0
311,0050760641104,
312,0050760651101,
313,0050760661101,
314,0050760671101,
315,0050760671102,0.0
316,0050760671103,0.0
317,0050760671104,0.0
318,0050760671105,
319,0050790011101,2.0
320,0050790021101,0.0
321,0050790021102,12.0
322,0050790021103,2.0
323,0050790041101,12.0
324,0050790041102,8.0
325,0050790041103,0.0
326,0050790051101,0.0
327,0050790051102,0.0
328,0050790051103,7.0
329,0050790051104,
330,0050790321101,14.0
331,0050790321102,11.0
332,0050790321103,0.0
333,0050790331101,11.0
334,0050790331102,11.0
335,0050790351101,
336,0050790351102,
337,0050790351103,12.0
338,0050790361101,11.0
339,0050790361102,14.0
340,0050790361103,9.0
341,0050790361104,0.0
342,0050790361105,2.0
343,0050860081101,5.0
344,0050860081102,0.0
345,0050860371101,
346,0050860371102,11.0
347,0050860371103,11.0
348,0050860381101,5.0
349,0050860381102,0.0
350,0050860381103,7.0
351,0050860381104,0.0
352,0050860381105,0.0
353,0050860401101,9.0
354,0050870311101,0.0
355,0050870311102,0.0
356,0050870311103,11.0
357,0050870311104,8.0
358,0050870911101,0.0
359,0050870911102,0.0
360,0050870911103,0.0
361,0050870911104,3.0
362,0050870931101,0.0
363,0050870931102,0.0
364,0050870931103,0.0
365,0050870931104,3.0
366,0050870941101,3.0
367,0050870941102,2.0
368,0050870971101,7.0
369,0050870971102,0.0
370,0050870971103,11.0
371,0050870971104,8.0
372,0050870971105,0.0
373,0050870981101,11.0
374,0050870981102,8.0
375,0050870981103,12.0
376,0050870981104,0.0
377,0050870991101,5.0
378,0050871001101,0.0
379,0050871001102,0.0
380,0050871001103,0.0
381,0050880161101,0.0
382,0050880161102,0.0
383,0050880161103,14.0
384,0050880171101,0.0
385,0050880171102,0.0
386,0050880171103,11.0
387,0050880171104,0.0
388,0050880221101,0.0
389,0050880221102,0.0
390,0050880221103,10.0
391,0050880411101,0.0
392,0050880421101,5.0
393,0050880421102,10.0
394,0050880501101,
395,0050880501102,0.0
396,0050890091101,4.0
397,0050890091102,4.0
398,0050890091103,12.0
399,0050890111101,5.0
400,0050890551101,2.0
401,0050890551102,11.0
402,0050890571101,2.0
403,0050890571102,0.0
404,0050890581101,
405,0050890601101,2.0
406,0050890601102,10.0
407,0050890611101,11.0
408,0050890611102,8.0
409,0050890611103,13.0
410,0050890611104,11.0
411,0050890611105,0.0
412,0051020751101,0.0
413,0051020751102,0.0
414,0051020751103,14.0
415,0051020751104,11.0
416,0051020751105,8.0
417,0051020771101,
418,0051020771102,
419,0051021761101,0.0
420,0051021761102,0.0
421,0051021771101,11.0
422,0051021771102,0.0
423,0051021771103,0.0
424,0051021771104,2.0
425,0051021801101,3.0
426,0051021801102,2.0
427,0051021801103,11.0
428,0051021911101,1.0
429,0051021911102,
430,0051021911103,12.0
431,0051021911104,11.0
432,0051030691101,14.0
433,0051030691102,0.0
434,0051030691103,10.0
435,0051030691104,8.0
436,0051030691105,0.0
437,0051030691106,0.0
438,0051030691107,1.0
439,0051030701101,7.0
440,0051030701102,0.0
441,0051030701103,10.0
442,0051030701104,0.0
443,0051030701105,0.0
444,0051030711101,2.0
445,0051030711102,0.0
446,0051030711103,0.0
447,0051030711104,0.0
448,0051030711105,14.0
449,0051030721101,11.0
450,0051030721102,16.0
451,0051030721103,11.0
452,0051030721104,0.0
453,0051030721105,
454,0051030721106,
455,0051030721107,5.0
456,0051030721108,16.0
457,0051031921101,1.0
458,0051031921102,
459,0051031921103,10.0
460,0051031921104,0.0
461,0051031951101,0.0
462,0051031961101,5.0
463,0051031961102,
464,0051031981101,5.0
465,0051031981102,5.0
466,0051190451101,11.0
467,0051190451102,10.0
468,0051190451103,14.0
469,0051190451104,11.0
470,0051190451105,3.0
471,0051190461101,5.0
472,0051190461102,5.0
473,0051190461103,11.0
474,0051190461104,11.0
475,0051190461105,13.0
476,0051190481101,0.0
477,0051190481102,10.0
478,0051190481103,8.0
479,0051190481104,0.0
480,0051190481105,0.0
481,0051190491101,11.0
482,0051190491102,0.0
483,0051190491103,15.0
484,0051190491104,11.0
