,IRUC,CodSector,Activos,Clave,Utility,ROA
0,00000009996,11,37.071421,061,1.014691,2.737124643805804
1,00000013896,11,19.322966,061,-4.309016,-22.2999719608263
2,00000010325,11,91.80166,061,-8.04101,-8.759111763338485
3,00000011609,11,17.440446,061,0.619705,3.5532634887892196
4,00000009959,11,344.273677,061,0.382301,0.1110456667298441
5,00000018491,11,45.529277,061,7.511712,16.49864108318698
6,00000015506,11,14.623984,061,2.078485,14.212850615810302
7,00000016850,11,48.071071,061,0.664912,1.3831853257440425
8,00000015459,11,277.888531,061,2.86804,1.0320828965769733
9,00000017271,11,120.943128,061,-19.658735,-16.25452832673552
10,00000009998,11,249.225576,061,9.188411,3.6867849389582714
11,00000017181,11,92.959374,061,0.49512,0.532619765705393
12,00000010074,11,366.121323,061,24.311868,6.640385706243064
13,00000010095,11,190.386347,061,22.011812,11.56165468104706
14,00000011129,11,20.463711,061,2.0137,9.840346162042653
15,00000010293,11,35.349147,061,3.673012,10.3906665696912
16,00000109966,11,55.121753,061,0.846137,1.5350328208901485
17,00000019291,11,24.094577,061,1.625923,6.7480869242900585
18,00000011265,11,134.836962,061,-0.20776,-0.15408237987444423
19,00000119435,11,16.543233,061,3.276361,19.80484104890501
20,00000017233,11,255.511717,061,61.517166,24.07606458219683
21,00000009887,11,1406.784112,061,49.196206,3.497068639057817
22,00000026155,11,30.298142,061,4.261619,14.06561168008256
23,00000021255,11,29.091451,061,-3.121021,-10.728309839203277
24,00000013379,11,249.300516,061,1.423742,0.5710946863824382
25,00000010472,11,28.259926,061,1.102593,3.9016131889375782
26,00000010562,11,218.994233,061,10.761256,4.9139449256638645
27,00000027289,11,118.062683,061,4.044793,3.4259707616504023
28,00000025562,11,67.656462,061,3.859619,5.704730761712015
29,00000021713,11,66.431508,061,1.450963,2.1841488228748327
30,00000011633,11,73.150859,061,3.533917,4.83099863529969
31,00000025329,11,72.837588,061,9.253951,12.704911370760932
32,00000011293,11,34.165387,061,2.017767,5.905880709034555
33,00000016404,11,40.560116,061,1.953968,4.817461567417608
34,00000019295,11,68.674782,061,4.399612,6.406444799489863
35,00000021701,11,50.262586,061,5.900063,11.738478796136754
36,00000010825,11,27.083734,061,3.056185,11.28420844777164
37,00000012199,11,49.036047,061,1.107089,2.2577044189553046
38,00000009842,11,172.660528,061,5.414064,3.135669780877769
39,00000024503,11,28.650716,061,0.505636,1.7648284950365638
40,00000010026,11,184.302858,061,-0.221865,-0.12038066170411749
41,00000009869,11,602.994308,061,23.205871,3.848439478138489
42,00000011368,11,16.913363,061,1.763678,10.427719194580048
43,00000011233,11,146.804671,061,10.613558,7.22971410085446
44,00000027314,11,49.924344,061,0.237406,0.4755315362781733
45,00000028728,11,117.337279,061,6.785914,5.783254953440671
46,00000010495,11,215.019399,061,9.535401,4.434670101556744
47,00000011204,11,417.132637,061,-4.526352,-1.0851109691520013
48,00000012000,11,79.185162,061,3.673882,4.639609122729331
49,00000009975,11,352.235134,061,14.776511,4.195070160150463
50,00000021393,11,12.803022,061,0.797594,6.229732324134099
51,00000009977,11,186.112344,061,7.304694,3.924884208647654
52,00000021639,11,112.741693,061,3.935063,3.4903352036766027
53,00000010066,11,13.3669,061,1.675063,12.531424638472647
54,00000010088,11,211.931132,061,-10.923013,-5.154038907318251
55,00000010288,11,36.587934,061,2.879087,7.868952097705217
56,00000010322,11,476.866786,061,-4.082976,-0.8562089287552102
57,00000018807,11,51.009212,061,2.15802,4.230647593615052
58,00000010265,11,29.547453,061,-0.265753,-0.8994108561573819
59,00000017905,11,157.174049,061,1.929553,1.22765368219279
60,00000010726,11,10.105308,061,2.067082,20.4554081874595
61,00000010313,11,68.42993,061,5.334048,7.794904948755612
62,00000015473,11,22.733402,061,0.374529,1.6474832935255355
63,00000018023,11,48.378361,061,1.077208,2.2266318612984843
64,00000012568,11,733.816097,061,29.492414,4.01904702289462
65,00000027464,11,103.008564,061,5.954246,5.780340749143926
66,00000014365,11,111.21294,061,2.733603,2.4579900504383754
67,00000018215,11,85.251143,061,17.18998,20.163929063097722
